CODE_KEY	MAX_USES	REWARD	COMMENT
s[unique]	i[1]	s	s
SWGNB-VTYMP-LXFBV		item_event_token_01_01	Fall Promotion
SWGNB-OFPIQ-HULDG		item_event_token_01_01	Fall Promotion
SWGNB-HISKL-LVFZB		item_event_token_01_01	Fall Promotion
SWGNB-WMAJX-DHJED		item_event_token_01_01	Fall Promotion
SWGNB-SPVZP-XVAWD		item_event_token_01_01	Fall Promotion
SWGNB-PHSGV-BZUHE		item_event_token_01_01	Fall Promotion
SWGNB-XSUIC-MJBLJ		item_event_token_01_01	Fall Promotion
SWGNB-EADBL-BXBCQ		item_event_token_01_01	Fall Promotion
SWGNB-XYAFS-SUEIT		item_jawa_familiar	Generic Event Code
SWGNB-BPRGU-BVYOC		item_jawa_familiar	Generic Event Code
SWGNB-GNQES-ANENB		item_jawa_familiar	Generic Event Code
SWGNB-FOZEI-MYJKM		item_jawa_familiar	Generic Event Code
SWGNB-TPHXD-PEWPH	15	item_senatorial_cache	Developer Choice
SWGNB-YDBPW-GEPVG	15	item_senatorial_cache	Developer Choice
SWGNB-RFYMP-WCYTN	15	item_senatorial_cache	Developer Choice
SWGNB-QWQQ-DEV		item_bug_smasher_crate	Tester Reward
SWGNB-WLDR-DEV		item_bug_smasher_crate	Tester Reward
SWGNB-CGSI-DEV		item_bug_smasher_crate	Tester Reward
SWGNB-AXFX-DEV		item_bug_smasher_crate	Tester Reward
SWGNB-HEMZ-DEV		item_bug_smasher_crate	Tester Reward
SWGNB-REOK-DEV		item_bug_smasher_crate	Tester Reward
SWGNB-NDXZ-DEV		item_bug_smasher_crate	Tester Reward
SWGNB-RTMQ-DEV		item_bug_smasher_crate	Tester Reward
SWGNB-CIEZ-DEV		item_bug_smasher_crate	Tester Reward
SWGNB-FMHR-DEV		item_bug_smasher_crate	Tester Reward
SWGNB-OAKJ-DEV		item_bug_smasher_crate	Tester Reward
SWGNB-MDHO-DEV		item_bug_smasher_crate	Tester Reward
SWGNB-UZIJ-DEV		item_bug_smasher_crate	Tester Reward
SWGNB-GSUD-DEV		item_bug_smasher_crate	Tester Reward
SWGNB-AUZH-DEV		item_bug_smasher_crate	Tester Reward
SWGNB-BUBB-DEV	-1	item_species_change_token	Repeatable/One Per Account
