LOOT_TABLE	NAME
s	s[unspecified]
creature/bantha_bonecracker_loot    	Bantha Bonecracker
creature/creature_11_20 	Creature (11-20)
creature/creature_1_10	Creature (01-10)
creature/creature_21_30	Creature (21-30)
creature/creature_31_40	Creature (31-40
creature/creature_41_50	Creature (41-50)
creature/creature_51_60	Creature (51-60)
creature/creature_61_70	Creature (61-70)
creature/creature_71_80	Creature (71-80)
creature/creature_81_90	Creature (81-90)
creature/deranged_mantigrue_loot	Deranged Mantigrue
creature/elder_pugoriss_loot	Elder Purgoriss
creature/elite_creature:elite_creature_11_20	Elite Creature (11-20)
creature/elite_creature:elite_creature_1_10	Elite Creature (01-10)
creature/elite_creature:elite_creature_21_30	Elite Creature (21-30)
creature/elite_creature:elite_creature_31_40	Elite Creature (31-40)
creature/elite_creature:elite_creature_51_60	Elite Creature (51-60)
creature/elite_creature:elite_creature_61_70	Elite Creature (61-70)
creature/elite_creature:elite_creature_71_80	Elite Creature (71-80)
creature/elite_creature:elite_creature_81_90	Elite Creature (81-90)
creature/elite_insect:elite_insect_71_80	Elite Insect (71-80)
creature/elite_insect:elite_insect_81_90	Elite Insect (81-90)
creature/erratic_swirl_prong_loot	Erratic Swirl Prong
creature/flit_bloodsucker_loot	Bloodsucker Flit
creature/giant_peko_peko_loot	Giant Peko-Peko
creature/greater_gulginaw_loot	Greater Gulginaw
creature/hostile_thune_mother_loot	Hostile Thune Mother
creature/insect_11_20	Insect (11-20)
creature/insect_1_10	Insect (01-10)
creature/insect_21_30	Insect (21-30)
creature/insect_31_40	Insect (31-40
creature/insect_41_50	Insect (41-50)
creature/insect_51_60	Insect (51-60)
creature/insect_61_70	Insect (61-70)
creature/insect_71_80	Insect (71-80)
creature/krayt_dragon_high	Krayt Dragon (High)
creature/krayt_dragon_low	Krayt Dragon (Low)
creature/krayt_dragon_medium	Krayt Dragon (Medium)
creature/narglatch_guardian_loot	Narglatch Guardian
creature/peko_peko_albatross_high	Peko-Peko Albatross (High)
creature/perlek_scavenger_loot	Perlek Scavenger
creature/rancor_loot:bull_rancor_81_90	Bull Rancor (81-90)
creature/rancor_loot:enraged_bull_rancor_81_90	Enraged Bull Rancor (81-90)
creature/rancor_loot:enraged_rancor_81_90	Enraged Rancor (81-90)
creature/rancor_loot:rancor_81_90	Rancor (81-90)
creature/rancor_loot:rancor_monstrous_brute_81_90	Rancor Monstrous Brute (81-90)
creature/razor_cat_eviscerator_loot	Razor Cat Eviscerator
creature/rhoa_kwi_pack_leader_loot	Rhoa Kwi Pack Leader
creature/ris_armor_components:dune_kimogila	RIS Armor (Kimogila)
creature/ris_armor_components:gurk_king	RIS Armor (Gurk King)
creature/ris_armor_components:peko_peko	RIS Armor (Peko-Peko)
creature/ris_armor_components:woolamander	Woolamander
creature/screaming_kai_tok_loot	Screaming Kai-Tok
creature/skreeg_warrior_elite_loot	Skreeg Warrior (Elite)
creature/whisper_bird_majestic_loot	Majestic Whisper Bird
creature/wolf_kima_loot	Kima
droid/droid_11_20	Droid (11-20)
droid/droid_1_10	Droid (01-10)
droid/droid_21_30	Droid (21-30)
droid/droid_31_40	Droid (31-40
droid/droid_41_50	Droid (41-50)
droid/droid_51_60	Droid (51-60)
droid/droid_61_70	Droid (61-70)
droid/droid_71_80	Droid (71-80)
droid/droid_81_90	Droid (81-90)
droid/elite_droid:elite_droid_41_50	Elite Droid (41-50)
droid/elite_droid:elite_droid_51_60	Elite Droid (51-60)
droid/elite_droid:elite_droid_71_80	Elite Droid (71-80)
droid/elite_droid:elite_droid_81_90	Elite Droid (81-90)
droid/mtp_instance_droid	Meatlump Instance (Droid)
generic_npc_1	Generic: NPE
generic_npc_9	Generic: NPE (Level 9)
heroic/echo_base_sharpshooter	Echo Base: Sharpshooter
