SHOW_NAME	DB_ID	COST
s	i	i
Bothan (Female)	-156526705	1500000
Bothan (Male)	-1686000334	1500000
Human (Female)	-727242128	1500000
Human (Male)	101601749	1500000
Ithorian (Female)	-405138586	1500000
Ithorian (Male)	-750574779	1500000
Mon Calamari (Female)	1943427935	1500000
Mon Calamari (Male)	2042529705	1500000
Rodian (Female)	698204378	1500000
Rodian (Male)	-879812707	1500000
Sullustan (Female)	1148427457	1500000
Sullustan (Male)	479589820	1500000
Trandoshan (Female)	1690454390	1500000
Trandoshan (Male)	83806458	1500000
Twi'lek (Female)	1869526621	1500000
Twi'lek (Male)	854995066	1500000
Wookiee (Female)	447547898	1500000
Wookiee (Male)	775743620	1500000
Zabrak (Female)	1109048188	1500000
Zabrak (Male)	577926999	1500000
