objid	container	server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
i	i	h	i	f	f	f	f	f	f	f	s	p
-1427463852	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	1838	0.96152	1726	1	0	0	0		buildoutObjectId|0|-1427463852|$|
-1427463047	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	1800	0	1694	1	0	0	0		buildoutObjectId|0|-1427463047|$|
-1427462989	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	1800	0	1726	1	0	0	0		buildoutObjectId|0|-1427462989|$|
-1427462986	0	object/static/structure/military/military_wall_med_imperial_32_style_01.iff	0	1800	0	1710	0.707107	0	0.707107	0		buildoutObjectId|0|-1427462986|$|
-1427462825	0	object/static/structure/military/military_wall_med_imperial_32_style_01.iff	0	1866	0	1726	1	0	0	0		buildoutObjectId|0|-1427462825|$|
-1427462705	0	object/static/structure/military/military_wall_med_imperial_32_style_01.iff	0	1816	0	1726	1	0	0	0		buildoutObjectId|0|-1427462705|$|
-1427462704	0	object/static/structure/military/military_wall_med_imperial_32_style_01.iff	0	1822	1e-006	1726	1	0	0	0		buildoutObjectId|0|-1427462704|$|
-1427459831	0	object/tangible/item/item_outbreak_stun_baton_hidden_content.iff	0	1940.19	7.9319	1756.96	0.993395	0	0.114747	0	theme_park.outbreak.hidden_content_object	buildoutObjectId|0|-1427459831|menu_string|4|pick_up_baton|$|
-1427459356	0	object/tangible/furniture/tatooine/frn_tatt_chair_cantina_seat.iff	0	1933.61	7	1755.16	1	0	0	0		buildoutObjectId|0|-1427459356|occupied.limit|0|1|$|
-1427459355	0	object/tangible/furniture/tatooine/frn_tatt_chair_cantina_seat.iff	0	1934.88	7	1755.42	0.92388	0	-0.382683	0		buildoutObjectId|0|-1427459355|occupied.limit|0|1|$|
-1427459354	0	object/tangible/furniture/tatooine/frn_tatt_chair_cantina_seat.iff	0	1932.38	7	1755.42	0.923879	0	0.382684	0		buildoutObjectId|0|-1427459354|occupied.limit|0|1|$|
-1427459353	0	object/tangible/loot/collectible/collectible_rewards/orange_rug.iff	0	1933.61	7	1756.29	-0.707106	0	0.707108	0		buildoutObjectId|0|-1427459353|$|
-1427459352	0	object/tangible/furniture/modern/coffee_table_modern_style_02.iff	0	1933.61	7	1756.28	0	0	1	0		buildoutObjectId|0|-1427459352|$|
-1427459351	0	object/tangible/food/generic/drink_ewok_chak.iff	0	1932.89	7.60454	1756.42	0	0	1	0		buildoutObjectId|0|-1427459351|$|
-1427459350	0	object/tangible/food/generic/drink_ewok_chak.iff	0	1934.38	7.60454	1756.42	0	0	1	0		buildoutObjectId|0|-1427459350|$|
-1427459349	0	object/tangible/food/generic/dessert_ewok_berry_choc.iff	0	1933.64	7.60454	1756.52	0	0	1	0		buildoutObjectId|0|-1427459349|$|
-1427458356	0	object/static/structure/military/military_wall_med_imperial_32_style_01.iff	0	1800	0	1678	0.707107	0	0.707107	0		buildoutObjectId|0|-1427458356|$|
-1427458355	0	object/static/structure/military/military_wall_med_imperial_32_style_01.iff	0	1888	0	1678	0.707107	0	0.707107	0		buildoutObjectId|0|-1427458355|$|
-1427458242	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	1888	0	1662	1	0	0	0		buildoutObjectId|0|-1427458242|$|
-1427458241	0	object/static/structure/military/military_column_strong_imperial_style_01.iff	0	1800	0	1662	1	0	0	0		buildoutObjectId|0|-1427458241|$|
