objid	container	server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
i	i	h	i	f	f	f	f	f	f	f	s	p
-2117170119	0	object/static/structure/naboo/nboo_imprv_pristine_wall_large_s01.iff	0	1882	0	1921	1	0	0	0		buildoutObjectId|0|-2117170119|$|
-2103365708	0	object/tangible/door/echo_base_door_hangar.iff	0	1939	-15.2609	1861	0.707108	0	0	0.707105		buildoutObjectId|0|-2103365708|$|
-2099887489	0	object/static/structure/naboo/nboo_imprv_pristine_wall_large_s01.iff	0	1920	0	1843	0	0	1	0		buildoutObjectId|0|-2099887489|$|
-2078287095	0	object/static/structure/naboo/nboo_imprv_pillar_pillar_s01.iff	0	1940	-3.8147e-006	1882	0.707108	0	0.707105	0		buildoutObjectId|0|-2078287095|$|
-2056083775	0	object/static/structure/general/streetlamp_large_style_01.iff	0	1931.68	0	1892.49	0.707107	0	-0.707107	0		buildoutObjectId|0|-2056083775|$|
-2055637926	0	object/static/structure/naboo/nboo_imprv_pillar_pillar_s01.iff	0	1923	0	1861	0.70711	0	0.707103	0		buildoutObjectId|0|-2055637926|$|
-2032791785	0	object/static/structure/naboo/nboo_imprv_pristine_wall_large_s01.iff	0	1882	6.08657	1921	0	0	1	0		buildoutObjectId|0|-2032791785|$|
-2016280272	0	object/static/structure/naboo/nboo_imprv_pristine_wall_large_s01.iff	0	1940	6.08657	1901	0.707108	0	-0.707105	0		buildoutObjectId|0|-2016280272|$|
-1944196907	0	object/static/structure/naboo/nboo_imprv_pristine_wall_large_s01.iff	0	1920	4e-006	1921	0	0	1	0		buildoutObjectId|0|-1944196907|$|
-1939733818	0	object/building/naboo/ply_nboo_house_lg_s01_fp1.iff	0	1879	-0.46394	1860	-5.96047e-007	0	1	0		buildoutObjectId|0|-1939733818|portalProperty.crc|0|2027776254|$|
-2071274804	-1939733818	object/cell/cell.iff	1	0	0	0	1	0	0	0		buildoutObjectId|0|-2071274804|$|
-594277695	-1939733818	object/cell/cell.iff	2	0	0	0	1	0	0	0		buildoutObjectId|0|-594277695|$|
-1116839370	-1939733818	object/cell/cell.iff	3	0	0	0	1	0	0	0		buildoutObjectId|0|-1116839370|$|
-1771403914	-1939733818	object/cell/cell.iff	4	0	0	0	1	0	0	0		buildoutObjectId|0|-1771403914|$|
-186315875	-1939733818	object/cell/cell.iff	5	0	0	0	1	0	0	0		buildoutObjectId|0|-186315875|$|
-719573896	-1939733818	object/cell/cell.iff	6	0	0	0	1	0	0	0		buildoutObjectId|0|-719573896|$|
-1077606688	-1939733818	object/cell/cell.iff	7	0	0	0	1	0	0	0		buildoutObjectId|0|-1077606688|$|
-1493264076	-1939733818	object/cell/cell.iff	8	0	0	0	1	0	0	0		buildoutObjectId|0|-1493264076|$|
-1884367154	-1939733818	object/cell/cell.iff	9	0	0	0	1	0	0	0		buildoutObjectId|0|-1884367154|$|
-831428969	-1939733818	object/cell/cell.iff	10	0	0	0	1	0	0	0		buildoutObjectId|0|-831428969|$|
-337130735	-1939733818	object/cell/cell.iff	11	0	0	0	1	0	0	0		buildoutObjectId|0|-337130735|$|
-2079652199	-1939733818	object/cell/cell.iff	12	0	0	0	1	0	0	0		buildoutObjectId|0|-2079652199|$|
-113091273	-1939733818	object/cell/cell.iff	13	0	0	0	1	0	0	0		buildoutObjectId|0|-113091273|$|
-393585596	-1939733818	object/cell/cell.iff	14	0	0	0	1	0	0	0		buildoutObjectId|0|-393585596|$|
-1918976124	0	object/static/structure/general/streetlamp_large_style_01.iff	0	1879.02	7.18828	1863.77	1	0	0	0		buildoutObjectId|0|-1918976124|$|
-1884863271	0	object/static/structure/naboo/nboo_imprv_pristine_wall_large_s01.iff	0	1882	6.08658	1843	1	0	0	0		buildoutObjectId|0|-1884863271|$|
-1859957805	0	object/static/structure/naboo/nboo_imprv_pristine_wall_large_s01.iff	0	1940	6.08657	1863	0.707108	0	-0.707105	0		buildoutObjectId|0|-1859957805|$|
-1842840856	0	object/static/structure/naboo/nboo_imprv_pillar_pillar_s01.iff	0	1940	5.35304	1843	0.707108	0	0.707105	0		buildoutObjectId|0|-1842840856|$|
-1799380950	0	object/static/structure/naboo/nboo_imprv_pillar_pillar_s01.iff	0	1862	5.35305	1882	-0.707107	0	0.707107	0		buildoutObjectId|0|-1799380950|$|
-1769389258	0	object/static/structure/general/streetlamp_large_style_01.iff	0	1877.75	0	1866.23	1	0	0	0		buildoutObjectId|0|-1769389258|$|
-1766414795	0	object/static/structure/naboo/nboo_imprv_pillar_pillar_s01.iff	0	1939.94	0	1861.34	5e-006	0	1	0		buildoutObjectId|0|-1766414795|$|
-1737824767	0	object/static/structure/general/streetlamp_large_style_01.iff	0	1883.04	0	1892.08	-0.707107	0	0.707107	0		buildoutObjectId|0|-1737824767|$|
-1701254509	0	object/static/structure/naboo/nboo_imprv_pillar_pillar_s01.iff	0	1901	5.35305	1843	0	0	1	0		buildoutObjectId|0|-1701254509|$|
-1680584470	0	object/static/structure/naboo/nboo_imprv_pristine_wall_large_s01.iff	0	1920	6.08658	1921	1	0	0	0		buildoutObjectId|0|-1680584470|$|
