objid	container	server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
i	i	h	i	f	f	f	f	f	f	f	s	p
-621822957	0	object/tangible/collection/flower_11.iff	0	1554.95	7.12725	1755.56	-0.0207944	0.00564631	0.999734	-0.00825323	systems.collections.consume_click	collection.slotName|4|col_flower_01:flower_11|$|
-40108000	0	object/building/kashyyyk/thm_kash_rodian_bannerpole_s01.iff	0	0	195	0	1	0	0	0		$|
-774325041	0	object/static/structure/general/tato_cave_stalagmite_small.iff	0	896.45	21.068	1393.85	1	0	0	0		$|
-1908401984	0	object/static/structure/general/tato_cave_rock_large.iff	0	565.807	2.0153	1888.43	1	0	0	0		$|
-2093773463	0	object/static/structure/general/tato_cave_rock_large.iff	0	564.564	1.94571	1888.29	-0.663731	0	0	0.747971		$|
-555016066	0	object/static/structure/general/tato_cave_rock_large.iff	0	565.746	2.81148	1887.59	0.870293	0.492535	0	0		$|
-1556862676	0	object/static/structure/general/tato_cave_rock_large.iff	0	565	2.90225	1886.85	-0.482817	0.516982	-0.476845	0.521762		$|
-1621582391	0	object/static/structure/general/tato_cave_rock_large.iff	0	564.767	1.95369	1886.19	1	0	0	0		$|
-1668142224	0	object/static/structure/general/tato_cave_rock_large.iff	0	564.049	1.97091	1886.99	0.431541	-0.402022	0.590881	-0.550463		$|
-1847828235	0	object/static/structure/general/tato_cave_rock_large.iff	0	565.357	2.23538	1886.71	1	0	0	0		$|
-565923755	0	object/static/structure/general/tato_cave_rock_large.iff	0	566.693	2.02638	1887.19	1	0	0	0		$|
-1927376940	0	object/static/structure/general/tato_cave_rock_large.iff	0	566.177	2.08339	1886.35	0.714198	-0.699497	-0.0174911	0.0178587		$|
-694282569	0	object/static/structure/general/tato_cave_rock_large.iff	0	564.712	2.86335	1887.25	1	0	0	0		$|
-556911782	0	object/static/structure/general/tato_cave_rock_large.iff	0	565.289	4.35064	1887.28	0.089201	0.880879	-0.368989	-0.28274		$|
-231542615	0	object/static/structure/dantooine/dant_fence_8m.iff	0	1560.94	7.09033	1733.12	1	0	0	0		$|
-976317925	0	object/static/structure/dantooine/dant_fence_8m.iff	0	1554.24	7.1645	1735.87	0.921061	0	0.389418	0		$|
-1960783934	0	object/static/structure/dantooine/dant_fence_8m.iff	0	1566.83	7.07732	1736.71	0.855127	0	-0.518418	0		$|
-879410635	0	object/static/structure/dantooine/dant_fence_8m.iff	0	1550.89	7.13683	1742.72	-0.659983	0	0.75128	0		$|
-1241413427	0	object/static/structure/dantooine/dant_fence_8m.iff	0	1568.1	7.32875	1744.3	0.7485	0	0.663135	0		$|
-2079230854	0	object/static/structure/dantooine/dant_fence_8m.iff	0	1564.92	7.07518	1750.64	0.942755	0	0.333487	0		$|
-2083494600	0	object/static/structure/dantooine/dant_fence_8m.iff	0	1552.35	7.11774	1750.27	0.519099	0	0.854714	0		$|
-1946274642	0	object/static/structure/dantooine/dant_gate.iff	0	1560	7.11579	1753.8	0.992198	0	0.124675	0		$|
-1677962170	0	object/static/structure/dantooine/dant_fence_4m.iff	0	1556.26	7.09369	1754.18	0.997551	0	-0.0699428	0		$|
-1647848179	0	object/static/structure/dantooine/dant_small_mudhut.iff	0	1547.89	7.19369	1756.81	0.924909	0	0.380188	0		$|
-1062241431	0	object/static/structure/dantooine/dant_skull_lizard.iff	0	1550.83	9.32064	1761.98	0.688912	0.622751	0.282306	-0.240594		$|
-854658269	0	object/static/flora/flora_tree_rori_mkpodtree.iff	0	1548.83	7.11343	1747.03	1	0	0	0		$|
-2090498086	0	object/static/flora/flora_tree_rori_windswept_s00.iff	0	1552.13	3.95125	1756.55	1	0	0	0		$|
-942219052	0	object/static/flora/flora_tree_rori_windswept_s00.iff	0	1549.64	4.19222	1760.87	1	0	0	0		$|
-1720483051	0	object/static/structure/dantooine/dant_jedi_temple_altar.iff	0	896.362	3.89224	1393.83	0.884675	0	0.466208	0		$|
-609843239	0	object/static/flora/flora_tree_rori_windswept_s00.iff	0	898.793	17.9388	1391.88	1	0	0	0		$|
-751867451	0	object/static/flora/flora_tree_rori_windswept_s00.iff	0	895.37	18.3387	1395.33	1	0	0	0		$|
-641399737	0	object/static/flora/flora_tree_rori_windswept_s00.iff	0	897.457	17.5495	1396.4	0.921271	0.302677	-0.177249	-0.168014		$|
-977230724	0	object/static/structure/dantooine/dant_fence_4m.iff	0	1937.08	10.5	1456.38	0.961055	0.276356	0	0		$|
-1246571693	0	object/static/structure/dantooine/dant_fence_4m.iff	0	1933.17	10.5	1456.65	0.950564	0.294044	0.0953745	-0.0295028		$|
-1674091023	0	object/static/structure/dantooine/dant_small_mudhut.iff	0	1929.43	10.5	1451.26	1	0	0	0		$|
-1182814570	0	object/static/flora/flora_tree_rori_windswept_s00.iff	0	1935.82	7.15978	1456.76	1	0	0	0		$|
-882045225	0	object/static/flora/flora_tree_rori_windswept_s00.iff	0	1926.74	7.69097	1453.83	1	0	0	0		$|
-1550073655	0	object/static/flora/flora_tree_rori_windswept_s00.iff	0	1927.98	7.33399	1448.67	1	0	0	0		$|
-409244986	0	object/tangible/poi/spawnegg/exterior_spawnegg.iff	0	1929.358765	10.5	1461.247925	1	0	0	0		$|
-280675418	0	object/tangible/poi/spawnegg/exterior_spawnegg.iff	0	899.373291	21.02806854	1394.839722	1	0	0	0		$|
-2133527664	0	object/tangible/poi/spawnegg/exterior_spawnegg.iff	0	1559.25061	7.11055851	1742.987793	1	0	0	0		$|
-517957242	0	object/tangible/poi/spawnegg/exterior_spawnegg.iff	0	1554.313721	7.150186539	1762.75415	1	0	0	0		$|
