objid	container	server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
i	i	h	i	f	f	f	f	f	f	f	s	p
-2087972664	0	object/tangible/collection/rock_steaming_03.iff	0	333.188	25.3251	127.616	1	0	0	0	systems.collections.consume_click	collection.slotName|4|col_rock_steaming:steaming_rock_03|$|
-792353101	0	object/tangible/collection/rebel_assault_right_bicep.iff	0	1950.61	3.84447	943.374	0.802217	0.581545	-0.0967306	0.0943247	systems.collections.consume_click	collection.slotName|4|col_rebel_assault_armor:rebel_assault_right_bicep|$|
-46378000	0	object/building/kashyyyk/thm_kash_rodian_bannerpole_s01.iff	0	0	195	0	1	0	0	0		$|
-774325041	0	object/building/general/endor_korga_cave.iff	0	195.542	37.8508	1505.28	0.0749295	0	0.997189	0		$|
-1908401984	-774325041	object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
-2093773463	-1908401984	object/tangible/poi/spawnegg/interior_spawnegg.iff	1	25.19497108	-27.49810791	-7.807404995	1	0	0	0		intRandomYaw|0|1|$|
-555016066	-774325041	object/cell/cell.iff	2	0	0	0	1	0	0	0		$|
-1556862676	-555016066	object/tangible/container/loot/placable_loot_crate.iff	2	53.1107	-48.9319	-62.3316	0.707107	0	-0.707106	0		$|
-1621582391	-555016066	object/tangible/container/loot/placable_loot_crate.iff	2	52.5423	-67.6199	-48.8952	1	0	0	0		$|
-1668142224	-555016066	object/tangible/collection/rare_rifle_ewok_crossbow.iff	2	50.147	-67.0331	-42.4274	0.714613	-0.0414666	0.688695	0.115355		$|
-1847828235	-555016066	object/tangible/poi/spawnegg/interior_spawnegg.iff	2	23.1251049	-42.27385712	-63.6207962	1	0	0	0		intRandomYaw|0|1|$|
-565923755	-555016066	object/tangible/poi/spawnegg/interior_spawnegg.iff	2	47.04518127	-48.32804489	-63.45380783	1	0	0	0		intRandomYaw|0|1|$|
-1927376940	-555016066	object/tangible/poi/spawnegg/interior_spawnegg.iff	2	53.63466263	-68.1674118	-37.60276031	1	0	0	0		intRandomYaw|0|1|$|
-694282569	-774325041	object/cell/cell.iff	3	0	0	0	1	0	0	0		$|
-2093773463	-694282569	object/tangible/poi/spawnegg/interior_spawnegg.iff	3	87.73404694	-62.09514236	-14.28888512	1	0	0	0		intRandomYaw|0|1|$|
-556911782	-774325041	object/cell/cell.iff	4	0	0	0	1	0	0	0		$|
-231542615	-774325041	object/cell/cell.iff	5	0	0	0	1	0	0	0		$|
-976317925	-231542615	object/tangible/container/loot/placable_loot_crate.iff	5	96.8163	-45.6414	-96.9226	0.707107	0	-0.707106	0		$|
-1960783934	-231542615	object/tangible/poi/spawnegg/interior_spawnegg.iff	5	92.73071289	-46.15851974	-104.0628281	1	0	0	0		intRandomYaw|0|1|$|
-879410635	-231542615	object/tangible/poi/spawnegg/interior_spawnegg.iff	5	90.01848602	-46.00851822	-120.9333878	1	0	0	0		intRandomYaw|0|1|$|
-1241413427	-231542615	object/tangible/poi/spawnegg/interior_spawnegg.iff	5	95.95159149	-66.03171539	-116.3380508	1	0	0	0		intRandomYaw|0|1|$|
-2079230854	-774325041	object/cell/cell.iff	6	0	0	0	1	0	0	0		$|
-2083494600	-774325041	object/cell/cell.iff	7	0	0	0	1	0	0	0		$|
-1946274642	-774325041	object/cell/cell.iff	8	0	0	0	1	0	0	0		$|
-1677962170	-1946274642	object/tangible/poi/spawnegg/interior_spawnegg.iff	8	131.0161896	-66.28006744	-98.00839996	1	0	0	0		intRandomYaw|0|1|$|
-1647848179	-1946274642	object/tangible/poi/spawnegg/interior_spawnegg.iff	8	131.4601746	-66.14797974	-116.8834076	1	0	0	0		intRandomYaw|0|1|$|
-1062241431	-774325041	object/cell/cell.iff	9	0	0	0	1	0	0	0		$|
-854658269	-1062241431	object/tangible/container/loot/placable_loot_crate.iff	9	195.415	-66.7495	-107.065	0.707107	0	-0.707107	0		$|
-2090498086	-1062241431	object/tangible/poi/spawnegg/interior_spawnegg.iff	9	188.3948059	-65.7780304	-106.5063171	1	0	0	0		intRandomYaw|0|1|$|
-942219052	-1062241431	object/tangible/poi/spawnegg/interior_spawnegg.iff	9	188.330246	-66.18276978	-99.46474457	1	0	0	0		intRandomYaw|0|1|$|
-1720483051	-1062241431	object/tangible/poi/spawnegg/interior_spawnegg.iff	9	180.9317017	-66.0329895	-98.37519073	1	0	0	0		intRandomYaw|0|1|$|
-609843239	-774325041	object/cell/cell.iff	10	0	0	0	1	0	0	0		$|
-751867451	-609843239	object/tangible/poi/spawnegg/interior_spawnegg.iff	10	49.93925095	-48.74791718	-102.8822479	1	0	0	0		intRandomYaw|0|1|$|
-641399737	-774325041	object/cell/cell.iff	11	0	0	0	1	0	0	0		$|
