objid	container	server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
i	i	h	i	f	f	f	f	f	f	f	s	p
-774325041	0	object/building/tatooine/starport_tatooine.iff	0	1281	80	1795	-4.37114e-08	0	1	-0		$|
-1908401984	-774325041	object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
-2093773463	-774325041	object/cell/cell.iff	2	0	0	0	1	0	0	0		$|
-555016066	-774325041	object/cell/cell.iff	3	0	0	0	1	0	0	0		$|
-1556862676	-774325041	object/cell/cell.iff	4	0	0	0	1	0	0	0		$|
-1621582391	-774325041	object/cell/cell.iff	5	0	0	0	1	0	0	0		$|
-1668142224	-774325041	object/cell/cell.iff	6	0	0	0	1	0	0	0		$|
-1847828235	-774325041	object/cell/cell.iff	7	0	0	0	1	0	0	0		$|
-565923755	-774325041	object/cell/cell.iff	8	0	0	0	1	0	0	0		$|
-1927376940	-774325041	object/cell/cell.iff	9	0	0	0	1	0	0	0		$|
-694282569	-774325041	object/cell/cell.iff	10	0	0	0	1	0	0	0		$|
-556911782	-774325041	object/cell/cell.iff	11	0	0	0	1	0	0	0		$|
-231542615	-774325041	object/cell/cell.iff	12	0	0	0	1	0	0	0		$|
-976317925	-774325041	object/cell/cell.iff	13	0	0	0	1	0	0	0		$|
-1960783934	-774325041	object/cell/cell.iff	14	0	0	0	1	0	0	0		$|
-879410635	-774325041	object/cell/cell.iff	15	0	0	0	1	0	0	0		$|
-1241413427	-774325041	object/cell/cell.iff	16	0	0	0	1	0	0	0		$|
-2079230854	0	object/building/tatooine/cantina_tatooine.iff	0	1403	80	1570	-4.37114e-08	0	1	-0		$|
-2083494600	-2079230854	object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
-1946274642	-2079230854	object/cell/cell.iff	2	0	0	0	1	0	0	0		$|
-1677962170	-2079230854	object/cell/cell.iff	3	0	0	0	1	0	0	0		$|
-1647848179	-2079230854	object/cell/cell.iff	4	0	0	0	1	0	0	0		$|
-1062241431	-2079230854	object/cell/cell.iff	5	0	0	0	1	0	0	0		$|
-854658269	-2079230854	object/cell/cell.iff	6	0	0	0	1	0	0	0		$|
-2090498086	-2079230854	object/cell/cell.iff	7	0	0	0	1	0	0	0		$|
-942219052	-2079230854	object/cell/cell.iff	8	0	0	0	1	0	0	0		$|
-1720483051	-2079230854	object/cell/cell.iff	9	0	0	0	1	0	0	0		$|
-609843239	-2079230854	object/cell/cell.iff	10	0	0	0	1	0	0	0		$|
-751867451	-2079230854	object/cell/cell.iff	11	0	0	0	1	0	0	0		$|
-641399737	-2079230854	object/cell/cell.iff	12	0	0	0	1	0	0	0		$|
-977230724	-2079230854	object/cell/cell.iff	13	0	0	0	1	0	0	0		$|
-1246571693	-2079230854	object/cell/cell.iff	14	0	0	0	1	0	0	0		$|
-1674091023	-2079230854	object/cell/cell.iff	15	0	0	0	1	0	0	0		$|
-1182814570	0	object/building/tatooine/bank_tatooine.iff	0	1281	80	1562	1	0	0	0		$|
-882045225	0	object/building/lok/nym_stronghold.iff	0	1068	80	1562	0.707107	0	0.707107	0		$|
-1550073655	-882045225	object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
-409244986	-882045225	object/cell/cell.iff	2	0	0	0	1	0	0	0		$|
-280675418	-882045225	object/cell/cell.iff	3	0	0	0	1	0	0	0		$|
-2133527664	-882045225	object/cell/cell.iff	4	0	0	0	1	0	0	0		$|
-517957242	-882045225	object/cell/cell.iff	5	0	0	0	1	0	0	0		$|
-416999969	-882045225	object/cell/cell.iff	6	0	0	0	1	0	0	0		$|
-1804617885	-882045225	object/cell/cell.iff	7	0	0	0	1	0	0	0		$|
-648240706	-882045225	object/cell/cell.iff	8	0	0	0	1	0	0	0		$|
-1239926135	-882045225	object/cell/cell.iff	9	0	0	0	1	0	0	0		$|
-1416801220	-882045225	object/cell/cell.iff	10	0	0	0	1	0	0	0		$|
-1550759483	-882045225	object/cell/cell.iff	11	0	0	0	1	0	0	0		$|
-1813593959	0	object/building/tatooine/filler_building_tatt_style01_09.iff	0	1219	80	1677	0.382683	0	-0.92388	0		$|
-1685100866	0	object/building/tatooine/tower_jabbas_palace.iff	0	1396	80	1680	1	0	0	0		$|
-91884238	0	object/building/tatooine/tower_jabbas_palace.iff	0	1064	80	1562	1	0	0	0		$|
-507892488	0	object/building/tatooine/filler_building_block_64x16_style_02.iff	0	1359	80	1474	0.707107	0	0.707107	0		$|
-1424652355	0	object/building/tatooine/filler_building_block_64x16_style_02.iff	0	1205	80	1474	0.707107	0	-0.707107	0		$|
