objid	container	server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
i	i	h	i	f	f	f	f	f	f	f	s	p
-1	0	object/tangible/dungeon/mustafar/volcano_battlefield/volcano_battlefield_controller.iff	0	647.941	74.7399	448.941	1	0	0	0		$|
-2	0	object/tangible/ground_spawning/patrol_waypoint.iff	0	635.054	74.9744	680.052	1	0	0	0		battlePoint|4|finalPoint|ignoreInBuildoutArray|0|1|registerWithController|0|1|$|
-3	0	object/tangible/ground_spawning/patrol_waypoint.iff	0	389.646	74.8142	648.353	1	0	0	0		battlePoint|4|zoneIn|ignoreInBuildoutArray|0|1|registerWithController|0|1|$|
-4	0	object/tangible/ground_spawning/patrol_waypoint.iff	0	385.032	74.766	512.445	1	0	0	0		battlePoint|4|firstPoint|ignoreInBuildoutArray|0|1|registerWithController|0|1|$|
-5	0	object/tangible/ground_spawning/patrol_waypoint.iff	0	434.928	74.7924	468.502	1	0	0	0		battlePoint|4|firstPathPoint|ignoreInBuildoutArray|0|1|registerWithController|0|1|$|
-6	0	object/tangible/ground_spawning/patrol_waypoint.iff	0	454.53	74.7338	399.987	1	0	0	0		battlePoint|4|secondPoint|ignoreInBuildoutArray|0|1|registerWithController|0|1|$|
-7	0	object/tangible/ground_spawning/patrol_waypoint.iff	0	516.608	74.6883	415.536	1	0	0	0		battlePoint|4|secondPathPoint|ignoreInBuildoutArray|0|1|registerWithController|0|1|$|
-8	0	object/tangible/ground_spawning/patrol_waypoint.iff	0	536.664	74.7673	533.382	1	0	0	0		battlePoint|4|thirdPoint|ignoreInBuildoutArray|0|1|registerWithController|0|1|$|
-9	0	object/tangible/ground_spawning/patrol_waypoint.iff	0	538.943	74.7163	585.989	1	0	0	0		battlePoint|4|thirdPathPoint|ignoreInBuildoutArray|0|1|registerWithController|0|1|$|
-10	0	object/tangible/ground_spawning/patrol_waypoint.iff	0	506.712	74.6705	649.509	1	0	0	0		battlePoint|4|fourthPathPoint|ignoreInBuildoutArray|0|1|registerWithController|0|1|$|
-11	0	object/tangible/ground_spawning/patrol_waypoint.iff	0	528.992	74.7761	692.472	1	0	0	0		battlePoint|4|fourthPoint|ignoreInBuildoutArray|0|1|registerWithController|0|1|$|
-12	0	object/tangible/ground_spawning/patrol_waypoint.iff	0	630.182	74.5388	608.466	1	0	0	0		battlePoint|4|fifthPathPoint|ignoreInBuildoutArray|0|1|registerWithController|0|1|$|
-13	0	object/tangible/ground_spawning/patrol_waypoint.iff	0	702.584	74.3557	561.256	1	0	0	0		battlePoint|4|sixthPathPoint|ignoreInBuildoutArray|0|1|registerWithController|0|1|$|
-14	0	object/tangible/ground_spawning/patrol_waypoint.iff	0	650	74.7164	453	1	0	0	0		battlePoint|4|finalEncounter|ignoreInBuildoutArray|0|1|registerWithController|0|1|$|
-15	0	object/building/mustafar/terrain/must_rock_spire_lg_lumpy_02.iff	0	687.849	59.9717	392.454	1	0	0	0		$|
-16	0	object/building/mustafar/terrain/must_rock_spire_lg_lumpy_03.iff	0	616.431	73.922	392.837	1	0	0	0		$|
-17	0	object/building/mustafar/terrain/must_rock_spire_skinny_01.iff	0	704.151	63.9253	431.477	1	0	0	0		$|
-18	0	object/building/mustafar/terrain/must_rock_spire_skinny_03.iff	0	600.386	66.8657	432.564	1	0	0	0		$|
-19	0	object/building/mustafar/terrain/must_rock_spire_smooth_02.iff	0	653.196	65.6235	352.276	1	0	0	0		$|
-20	0	object/building/mustafar/terrain/must_rock_spire_smooth_01.iff	0	546.607	64.5039	502.093	1	0	0	0		$|
-21	0	object/building/mustafar/terrain/must_rock_spire_smooth_03.iff	0	770.713	66.3177	432.49	1	0	0	0		$|
-22	0	object/building/mustafar/terrain/must_rock_spire_skinny_01.iff	0	748.755	66.5505	343.239	1	0	0	0		$|
-23	0	object/building/mustafar/terrain/must_rock_spire_skinny_01.iff	0	637.917	69.8992	577.111	1	0	0	0		$|
-24	0	object/building/mustafar/terrain/must_rock_spire_skinny_02.iff	0	620.538	66.3682	470.178	1	0	0	0		$|
-25	0	object/building/mustafar/terrain/must_rock_spire_smooth_01.iff	0	772.134	67.128	607.999	1	0	0	0		$|
-26	0	object/building/mustafar/terrain/must_rock_spire_skinny_03.iff	0	609.793	66.6523	636.151	1	0	0	0		$|
-27	0	object/building/mustafar/terrain/must_rock_spire_skinny_02.iff	0	687.816	65.6333	675.76	1	0	0	0		$|
-28	0	object/building/mustafar/terrain/must_rock_spire_smooth_02.iff	0	581.304	67.3694	669.646	1	0	0	0		$|
-29	0	object/building/mustafar/terrain/must_rock_spire_smooth_01.iff	0	313.483	65.7467	652.467	1	0	0	0		$|
-30	0	object/building/mustafar/terrain/must_rock_spire_skinny_03.iff	0	508.41	70.908	741.428	1	0	0	0		$|
