objid	container	server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
i	i	h	i	f	f	f	f	f	f	f	s	p
-774325041	0	object/building/poi/base/base_poi_large.iff	0	112.333	6.22181	1719.69	1	0	0	0		$|
-1908401984	0	object/building/mustafar/structures/must_jeditemple_platform_med.iff	0	112.284	5.67576	1719.89	1	0	0	0		$|
-2093773463	0	object/building/mustafar/structures/must_jeditemple_wall_high.iff	0	115.637	-5.15197	1786.48	-0.0174524	0	0.999848	0		$|
-555016066	0	object/building/mustafar/structures/must_jeditemple_wall_high_02.iff	0	110.916	-7.69446	1788.93	0.587785	0	0.809017	0		$|
-1556862676	0	object/building/mustafar/structures/must_jeditemple_wall_long.iff	0	120.524	-6.79138	1796.62	1	0	0	0		$|
-1621582391	0	object/building/mustafar/structures/must_jeditemple_wall_low.iff	0	60.8735	5.78865	1724.43	0.99747	0	0	0.0710889		$|
-1668142224	0	object/building/endor/endr_lake_rail2m.iff	0	87.9248	5.98944	1726.04	-0.382683	0	0.92388	0		$|
-1847828235	0	object/building/endor/endr_lake_rail4m.iff	0	90.0488	6.05	1726.69	0.92388	0	-0.382683	0		$|
-565923755	0	object/building/endor/endr_lake_rail8m.iff	0	88.6611	6.05	1730.96	-0.382683	0	0.92388	0		$|
-1927376940	0	object/building/endor/endor_tiki_torch.iff	0	114.766	6.22307	1733.47	0	0	1	0		$|
-694282569	0	object/tangible/poi/spawnegg/exterior_spawnegg.iff	0	190.894	1.43376	1725.59	-0.585806	0	0.810451	0		$|
-2083494600	0	object/static/vehicle/static_yt_1300.iff	0	239	1.85772	1836.05	0.211946	0	0.977281	0		$|
-1946274642	0	object/static/structure/content/meatlump/tato_radar_dish.iff	0	147.836	4.96427	1766.51	0.889786	0.368561	-0.248664	-0.103		$|
-1677962170	0	object/static/structure/general/lucky_despot_debris_nose_cone.iff	0	145.118	5.01788	1719.83	0	0.229204	0.973378	0		$|
-1647848179	0	object/static/structure/general/lucky_despot_debris_sm_engine.iff	0	10.4507	-1.09732	1674.43	0.732538	-0.191342	-0.46194	-0.46194		$|
-1062241431	0	object/static/structure/general/poi_all_monolith_s01.iff	0	220.7	-5.73923	1748.37	0.063676	0.997971	0	0		$|
-854658269	0	object/static/structure/general/poi_all_obelisk_s01.iff	0	163.758	-9.08642	1667.63	0.260872	0.400373	0.862434	-0.166899		$|
-2090498086	0	object/static/structure/general/prp_junk_s7.iff	0	86.0767	6.20042	1747.68	0.48481	0	0.87462	0		$|
-942219052	0	object/static/structure/general/prp_junk_s1.iff	0	104.42	5.94615	1736.11	0.939693	0	-0.34202	-0		$|
-1720483051	0	object/static/structure/general/prp_junk_s2.iff	0	140.772	9.60822	1708.22	1	0	0	0		$|
