objid	container	server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
i	i	h	i	f	f	f	f	f	f	f	s	p
-1	0	object/building/kashyyyk/thm_kash_rodian_bannerpole_s01.iff	0	0	195	0	0	0	0	0		
-774325041	0	object/static/installation/mockup_mining_liquid_moisture_harvester.iff	0	1231.08	4.85902	1634.89	1	0	0	0		$|
-1908401984	0	object/static/installation/mockup_mining_liquid_moisture_harvester.iff	0	1227.58	5.01921	1635	1	0	0	0		$|
-2093773463	0	object/static/installation/mockup_mining_liquid_moisture_harvester.iff	0	1224.41	5.17634	1635.03	1	0	0	0		$|
-555016066	0	object/static/structure/general/streetlamp_medium_red_style_01.iff	0	1356.17	20.6267	1394.19	-0.707107	0	0.707107	0		$|
-1556862676	0	object/static/structure/general/streetlamp_medium_red_style_01.iff	0	1356.03	20.6771	1406.03	-0.707107	0	0.707107	0		$|
-1621582391	0	object/static/item/item_jar_spice_red.iff	0	1335.35	20.5564	1392.98	0.71791	0	0	0.696136		$|
-1668142224	0	object/static/structure/corellia/corl_power_transformer_s01.iff	0	1343	16.7108	1402	0.999987	0	-0.00499998	0		$|
-1847828235	0	object/static/structure/corellia/corl_power_transformer_s01.iff	0	1348.49	16.8923	1402.02	0.999987	0	-0.005	0		$|
-565923755	0	object/static/vehicle/e3/landspeeder.iff	0	1361.31	16.7371	1398.83	0.825451	-0.091358	0.529676	0.172414		$|
-1927376940	0	object/static/particle/pt_smoke_small.iff	0	1363.08	18.6637	1399.77	1	0	0	0		$|
-694282569	0	object/static/structure/general/skeleton_human_headandbody.iff	0	1362.43	16.7814	1389.88	0.585743	0	0.810497	0		$|
-556911782	0	object/static/structure/general/skeleton_bith_headandbody.iff	0	1347.78	16.7818	1393.76	-0.0255964	-0.662748	-0.0226772	0.748062		$|
-231542615	0	object/static/structure/general/skeleton_human_body.iff	0	1341.4	16.4532	1385.69	1	0	0	0		$|
-976317925	0	object/building/general/talus_kahmurra_bunker.iff	0	1323.19	16.3456	1392.9	0.710634	0	0.703561	0	theme_park.dungeon.generic_spawner	spawn_table|4|datatables/spawning/poi_spawner/talus/poi_kahmurra_bunker.iff|$|
-1960783934	-976317925	object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
-879410635	-976317925	object/cell/cell.iff	2	0	0	0	1	0	0	0		$|
