objid	container	server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
i	i	h	i	f	f	f	f	f	f	f	s	p
-2113470612	0	object/tangible/ground_spawning/patrol_spawner.iff	0	146.238	51.888	840.264	1	0	0	0	systems.spawning.spawner_patrol	fltMaxSpawnTime|2|120.000000|fltMinSpawnTime|2|60.000000|fltRadius|2|0.000000|intDefaultBehavior|0|3|intGoodLocationSpawner|0|0|intSpawnCount|0|2|intSpawnSystem|0|1|patrolPathType|4|cycle|registerWithController|0|1|strName|4|Smuggler_Enemy_Patrol|strPatrolPointNames|5|Smuggler_Enemy_Patrol_10030463_1:Smuggler_Enemy_Patrol_10030463_2:Smuggler_Enemy_Patrol_10030463_3:Smuggler_Enemy_Patrol_10030463_4:|strSpawnerType|4|patrol|strSpawns|4|tatooine/smuggler_patrol_bh_2|$|
-2071406588	0	object/tangible/collection/rebel_assault_gloves.iff	0	54.9727	51.5253	790.329	0.857709	0	0	0.514136	systems.collections.consume_click	collection.slotName|4|col_rebel_assault_armor:rebel_assault_gloves|$|
-1993442917	0	object/tangible/ground_spawning/area_spawner.iff	0	395.197	8.07413	751.864	0.583569	0	0.812064	0	systems.spawning.spawner_area	fltMaxSpawnTime|2|60.000000|fltMinSpawnTime|2|30.000000|fltRadius|2|1.000000|intDefaultBehavior|0|2|intGoodLocationSpawner|0|0|intSpawnCount|0|3|intSpawnSystem|0|1|registerWithController|0|1|strName|4|tatooine_bantha|strSpawnerType|4|area|strSpawns|4|tatooine/tatooine_bantha|$|
-1987015622	0	object/tangible/collection/rare_rifle_dc_15.iff	0	66.1988	52.2869	770.803	-0.31672	0.627218	-0.616704	-0.354912	systems.collections.consume_click	collection.slotName|4|col_rare_rifle_02:dc_15_01|$|
-1796681422	0	object/tangible/ground_spawning/patrol_waypoint.iff	0	80.0417	52	818.04	1	0	0	0	systems.spawning.patrol_point_setup	ignoreInBuildoutArray|0|1|pointName|4|Smuggler_Enemy_Patrol_10028724_3|registerWithController|0|1|$|
-1437629687	0	object/tangible/ground_spawning/patrol_waypoint.iff	0	73.9765	54.7461	844.803	1	0	0	0	systems.spawning.patrol_point_setup	ignoreInBuildoutArray|0|1|pointName|4|Smuggler_Enemy_Patrol_10030463_2|registerWithController|0|1|$|
-1430204178	0	object/tangible/ground_spawning/patrol_waypoint.iff	0	104.581	52	816.861	1	0	0	0	systems.spawning.patrol_point_setup	ignoreInBuildoutArray|0|1|pointName|4|Smuggler_Enemy_Patrol_10028724_2|registerWithController|0|1|$|
-1242409505	0	object/tangible/ground_spawning/patrol_waypoint.iff	0	130.951	51.8647	842.526	1	0	0	0	systems.spawning.patrol_point_setup	ignoreInBuildoutArray|0|1|pointName|4|Smuggler_Enemy_Patrol_10030463_4|registerWithController|0|1|$|
-1083694187	0	object/tangible/ground_spawning/patrol_spawner.iff	0	121.949	52	810.501	1	0	0	0	systems.spawning.spawner_patrol	fltMaxSpawnTime|2|120.000000|fltMinSpawnTime|2|60.000000|fltRadius|2|0.000000|intDefaultBehavior|0|3|intGoodLocationSpawner|0|0|intSpawnCount|0|2|intSpawnSystem|0|1|patrolPathType|4|cycle|registerWithController|0|1|strName|4|Smuggler_Enemy_Patrol|strPatrolPointNames|5|Smuggler_Enemy_Patrol_10028724_1:Smuggler_Enemy_Patrol_10028724_2:Smuggler_Enemy_Patrol_10028724_3:Smuggler_Enemy_Patrol_10028724_4:|strSpawnerType|4|patrol|strSpawns|4|tatooine/smuggler_patrol_bh_2|$|
-989064391	0	object/tangible/ground_spawning/patrol_waypoint.iff	0	107.716	52.6326	842.918	1	0	0	0	systems.spawning.patrol_point_setup	ignoreInBuildoutArray|0|1|pointName|4|Smuggler_Enemy_Patrol_10030463_3|registerWithController|0|1|$|
-888279518	0	object/tangible/ground_spawning/area_spawner.iff	0	165.825	9.64642	1142.31	-0.271226	0	0.962516	0	systems.spawning.spawner_area	fltMaxSpawnTime|2|60.000000|fltMinSpawnTime|2|30.000000|fltRadius|2|1.000000|intDefaultBehavior|0|2|intGoodLocationSpawner|0|0|intSpawnCount|0|3|intSpawnSystem|0|1|registerWithController|0|1|strName|4|tatooine_terrorist|strSpawnerType|4|area|strSpawns|4|tatooine/tatooine_terrorist|$|
-671573423	0	object/building/content/tatooine_valarian_strategic_bunker.iff	0	55.9157	83.9763	887.499	0.707106	0	0.707107	0		portalProperty.crc|0|1639844206|$|
-3173956	-671573423	object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
-387013647	-671573423	object/cell/cell.iff	2	0	0	0	1	0	0	0		$|
-588929347	-671573423	object/cell/cell.iff	3	0	0	0	1	0	0	0		$|
-1934073651	-671573423	object/cell/cell.iff	4	0	0	0	1	0	0	0		$|
