item	cash	class	script	note
s[none]	i[0]	i[0]	s	c
object/tangible/wearables/armor/appearance_invisible_bicep_l.iff	1			
object/tangible/wearables/armor/appearance_invisible_bicep_r.iff	1			
object/tangible/wearables/armor/appearance_invisible_bracer_l.iff	1			
object/tangible/wearables/armor/appearance_invisible_bracer_r.iff	1			
object/tangible/wearables/armor/new_armor_final_test.iff	1			
object/tangible/wearables/armor/assault_trooper/armor_assault_trooper_bicep_l.iff	1			
object/tangible/wearables/armor/assault_trooper/armor_assault_trooper_bicep_l_gcw.iff	1			
object/tangible/wearables/armor/assault_trooper/armor_assault_trooper_bicep_r.iff	1			
object/tangible/wearables/armor/assault_trooper/armor_assault_trooper_bicep_r_gcw.iff	1			
object/tangible/wearables/armor/assault_trooper/armor_assault_trooper_boots.iff	1			
object/tangible/wearables/armor/assault_trooper/armor_assault_trooper_boots_gcw.iff	1			
object/tangible/wearables/armor/assault_trooper/armor_assault_trooper_bracer_l.iff	1			
object/tangible/wearables/armor/assault_trooper/armor_assault_trooper_bracer_l_gcw.iff	1			
object/tangible/wearables/armor/assault_trooper/armor_assault_trooper_bracer_r.iff	1			
object/tangible/wearables/armor/assault_trooper/armor_assault_trooper_bracer_r_gcw.iff	1			
object/tangible/wearables/armor/assault_trooper/armor_assault_trooper_chest_plate.iff	1			
object/tangible/wearables/armor/assault_trooper/armor_assault_trooper_chest_plate_gcw.iff	1			
object/tangible/wearables/armor/assault_trooper/armor_assault_trooper_gloves.iff	1			
object/tangible/wearables/armor/assault_trooper/armor_assault_trooper_gloves_gcw.iff	1			
object/tangible/wearables/armor/assault_trooper/armor_assault_trooper_helmet.iff	1			
object/tangible/wearables/armor/assault_trooper/armor_assault_trooper_helmet_gcw.iff	1			
object/tangible/wearables/armor/assault_trooper/armor_assault_trooper_leggings.iff	1			
object/tangible/wearables/armor/assault_trooper/armor_assault_trooper_leggings_gcw.iff	1			
object/tangible/wearables/armor/assault_trooper/armor_assault_trooper_utility_belt.iff	1			
object/tangible/wearables/armor/assault_trooper/armor_assault_trooper_utility_belt_gcw.iff	1			
object/tangible/wearables/armor/bone/armor_bone_s01_bicep_l.iff	1			
object/tangible/wearables/armor/bone/armor_bone_s01_bicep_r.iff	1			
object/tangible/wearables/armor/bone/armor_bone_s01_boots.iff	1			
object/tangible/wearables/armor/bone/armor_bone_s01_bracer_l.iff	1			
object/tangible/wearables/armor/bone/armor_bone_s01_bracer_r.iff	1			
object/tangible/wearables/armor/bone/armor_bone_s01_chest_plate.iff	1			
object/tangible/wearables/armor/bone/armor_bone_s01_gloves.iff	1			
object/tangible/wearables/armor/bone/armor_bone_s01_helmet.iff	1			
object/tangible/wearables/armor/bone/armor_bone_s01_leggings.iff	1			
object/tangible/wearables/armor/bone/armor_smc_s01_bicep_l.iff	1			
object/tangible/wearables/armor/bounty_hunter/armor_bounty_hunter_belt.iff	1			
object/tangible/wearables/armor/bounty_hunter/armor_bounty_hunter_bicep_l.iff	1			
object/tangible/wearables/armor/bounty_hunter/armor_bounty_hunter_bicep_r.iff	1			
