item	cash	class	script	note
s[none]	i[0]	i[0]	s	c
object/tangible/wearables/bodysuit/bodysuit_atat.iff	1			
object/tangible/wearables/bodysuit/bodysuit_atat_quest.iff	1			
object/tangible/wearables/bodysuit/bodysuit_bwing.iff	1			
object/tangible/wearables/bodysuit/bodysuit_bwing_quest.iff	1			
object/tangible/wearables/bodysuit/bodysuit_outbreak_prisoner.iff	1			
object/tangible/wearables/bodysuit/bodysuit_s01.iff	1			
object/tangible/wearables/bodysuit/bodysuit_s06.iff	1			
object/tangible/wearables/bodysuit/bodysuit_s07.iff	1			
object/tangible/wearables/bodysuit/bodysuit_s08.iff	1			
object/tangible/wearables/bodysuit/bodysuit_s08_generic.iff	1			
object/tangible/wearables/bodysuit/bodysuit_s12.iff	1			
object/tangible/wearables/bodysuit/bodysuit_s13.iff	1			
object/tangible/wearables/bodysuit/bodysuit_s14.iff	1			
object/tangible/wearables/bodysuit/bodysuit_s15.iff	1			
object/tangible/wearables/bodysuit/bodysuit_s16.iff	1			
object/tangible/wearables/bodysuit/bodysuit_sarlacc_coverall.iff	1			
object/tangible/wearables/bodysuit/bodysuit_tie_fighter.iff	1			
object/tangible/wearables/bodysuit/bodysuit_tie_fighter_quest.iff	1			
object/tangible/wearables/bodysuit/bodysuit_trando_slaver.iff	1			
object/tangible/wearables/bodysuit/rebel_bodysuit_s14.iff	1			
