item	cash	class	note	script	faction	factionCost	badge
s[none]	i[0]	i[0]	c	s	s[jabba]	i[100]	s
curio_painting_4lom_left	50000						bdg_thm_park_jabba_badge
curio_painting_a280_blaster	50000						bdg_thm_park_jabba_badge
curio_painting_account_access	50000						bdg_thm_park_jabba_badge
curio_painting_account_access_data	50000						bdg_thm_park_jabba_badge
curio_painting_at_at	50000						bdg_thm_park_jabba_badge
curio_painting_at_st	50000						bdg_thm_park_jabba_badge
curio_painting_bantha	50000						bdg_thm_park_jabba_badge
curio_painting_b_wing	50000						bdg_thm_park_jabba_badge
curio_painting_borvo_the_hutt	50000						bdg_thm_park_jabba_badge
