item	cash	token44	class	script	note
s[none]	i[0]	i[0]	i[0]	s	c
item_ent_bearded_jax_familiar		60			
item_painting_twilek_dancer		32			
item_tcg_loot_reward_series1_black_corset_dress		32			
item_band_set_entertainer_utility_b_01_01		20			
item_bracelet_l_set_entertainer_utility_b_01_01		20			
item_bracelet_r_set_entertainer_utility_b_01_01		20			
item_necklace_set_entertainer_utility_b_01_01		20			
item_ring_set_entertainer_utility_b_01_01		20			
item_ent_book_xp_bonus_01_01		20			
item_ent_book_bm_xp_bonus_01_01		20			
item_ent_book_gcw_bonus_01_01		20
item_painting_merrin_jedi		32			
item_painting_bastila_shan_001		32			
item_tcg_loot_reward_series6_guise_of_fire		30			
item_schematic_prop_ribbon_01_01		5			
item_schematic_prop_ribbon_01_02		5			
item_schematic_prop_ribbon_01_03		5			
item_schematic_prop_ribbon_01_04		5			
item_schematic_prop_ribbon_01_05		5			
item_schematic_prop_ribbon_01_06		5			
prop_gcw_reb_glowstick_l		5			
prop_gcw_reb_glowstick_r		5			
