item	cash	token0	token1	token2	token3	token4	class	script	note
s[none]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	s	c
item_event_gmf_treat_bowl	50000	400							2024 gmf
item_content_new_light	25000	5							2023 generic event reward
item_content_new_rug	15000	5							2023 generic event reward
item_event_gmf_backpack_01	1000	700							2009
item_event_gmf_holo_cache	1000	250							2023 generic event reward
item_event_gmf_jacket_01	1000	600							2009
item_event_gmf_wings_01	1000	500							2009
item_event_halloween_bat_pheromone_01_01	5000	5							2008 5000 credits
item_event_halloween_house_sign	1000	900							2008
item_event_halloween_house_sign_standing	1000	900							2008
item_event_halloween_krayt_01	1500	400							2008
item_event_halloween_lantern_01	1500	200							2008
item_event_halloween_lantern_02	1500	200							2008
item_event_halloween_lantern_03	1500	200							2008
item_event_halloween_lantern_04	1500	200							2008
item_event_halloween_lantern_05	1500	200							2008
item_event_halloween_painting	5	900							2008
item_event_halloween_skull_candle_01	1500	200							2008
item_event_halloween_skull_candle_02	1500	200							2008
item_event_halloween_song_book	500	500							2008 I am using this column for notes
item_event_halloween_spider_pheromone_01_01	5000	5							2008 5000 credits
item_event_halloween_spider_web_01	500	200							2008
item_event_halloween_spider_web_02	500	200							2008
item_event_halloween_spider_web_03	500	200							2008
item_event_halloween_trick_device_02_01	500	200							2008
item_event_halloween_trick_device_03_01	500	700							2008
item_painting_sayormi_witch_gmf_2010	500	900							2010
item_ponda_halloween_hand	20000								2011 20000 credits
item_schematic_bat_pheromone	10000	500							2010
item_schematic_spider_pheromone	10000	500							2010
item_skeleton_costume	50	600							2010
item_zozpheratu_costume	50	800							2010
costume_chevin	50	600							2011
costume_dantari_f	50	600							2001
costume_dantari_m	50	600							2011
costume_darktrooper_3	50	600							2011
costume_spider_droid	50	600							2011
item_costume_burning_ewok	50	800							2009
item_costume_chiss_01	50	600							2011
item_costume_exar_kun_cultist	50	600							2011
item_costume_gamorrean_guard	50	600							2009
item_costume_hutt_female	50	600							2011
item_costume_kit	1500								2008
item_costume_monkey_lizard	50	600							2009
item_costume_toydarian	50	600							2011
item_costume_undead_wookiee	50	600							2011
st_pr_kash_imprv_streetlamp_s01	50	400							2011
st_pr_kash_imprv_streetlamp_s02	50	400							2001
st_pr_scarecrow_01	50	400							2008
st_pr_scarecrow_02	50	400							2008
