item	cash	token42	limit	class	script	note
s[none]	i[0]	i[0]	i[0]	i[0]	s	c
item_content_kitchen_sink	15000					Kitchen Item
item_content_kitchen_cabinet_s01	15000					Kitchen Item
item_content_kitchen_cabinet_s02	15000					Kitchen Item
item_content_kitchen_cabinet_s03	15000					Kitchen Item
item_content_kitchen_fridge_s01	15000					Kitchen Item
item_content_kitchen_fridge_s02	15000					Kitchen Item
item_content_kitchen_fridge_s03	15000					Kitchen Item
item_content_kitchen_fridge_s04	15000					Kitchen Item
item_content_kitchen_fridge_s05	15000					Kitchen Item
