item	cash	token0	token1	token2	token3	token4	token5	token33	token7	token34	token9	token35	token11	token36	token13	class	script	note
s[none]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	s	c
armor_rebel_spec_force_belt								5		5		5		5				"See library.utils for the int value of the classes. 0 is ""all"" but will only show if there are no items for the opener's class."
armor_rebel_spec_force_bicep_l								5		5		5		5				"So in the case of this table only traders will see the ""all"" items."
armor_rebel_spec_force_bicep_r								5		5		5		5				
armor_rebel_spec_force_boots								5		5		5		5				
armor_rebel_spec_force_bracer_l								5		5		5		5				
armor_rebel_spec_force_bracer_r								5		5		5		5				
armor_rebel_spec_force_chest_plate								5		5		5		5				
armor_rebel_spec_force_gloves								5		5		5		5				
armor_rebel_spec_force_helmet								5		5		5		5				
armor_rebel_spec_force_leggings								5		5		5		5				
weapon_carbine_ngant_zarvel_04_01								15		15		15		15				
weapon_heavy_cr1_04_01								15		15		15		15				
weapon_magna_guard_polearm_04_01								15		15		15		15				
weapon_westar_pistol_04_01								15		15		15		15				
weapon_westar_rifle_04_01								15		15		15		15				
item_schematic_pvp_bf_saber_03_01								15		15		15		15		7		
item_schematic_pvp_bf_saber_03_02								15		15		15		15		7		
item_schematic_pvp_bf_saber_03_03								15		15		15		15		7		
weapon_knuckler_buzz_knuck								15		15		15		15				
weapon_sword_1h_pvp_04_01								15		15		15		15				
weapon_sword_2h_pvp_04_01								15		15		15		15				
