ITEM	PUBLISH
s[none]	i[45]
item_publish_gift_27_04_01	69
weapon_publish_gift_27_04_01	69
item_publish_gift_29_generic_04_01	69
item_gcw_base_reactive_heal_a_03_01	69
item_gcw_recruitment_letter_01_01	69
item_holopet_emitter_01_01	69
item_holopet_data_cube_gift_01_01	69
item_publish_gift_33_camp_01_01	69
item_publish_gift_33_picture_01_01	69
item_publish_gift_magic_control_object_03_01	69
item_publish_gift_35_04_01	69
item_publish_gift_36_04_01	69
item_publish_gift_37_04_01	69
meatlump_reward_rock_chair_02_01	69
item_publish_gift_38_04_01	69
publish_gift_chapter_11_snow_machine_02_01	69
item_hologram_aotc_cybernetic_arm	69
item_publish_gift_update_14_comlink	45
item_publish_gift_update_14_statuette	69
item_lifeday_09_ornament	69
item_publish_gift_update_15	69
item_publish_gift_update_16	69
