NAME	CATEGORY	AFFECTS	MAX_TIMES_APPLIED	COST	AFFECT_AMOUNT	REQUIRED_EXPERTISE
s	s	s	i	i	i	s
strength	attributes	strength_modified	10	1	10	
constitution	attributes	constitution_modified	10	1	10	
stamina	attributes	stamina_modified	10	1	10	
precision	attributes	precision_modified	10	1	10	
agility	attributes	agility_modified	10	1	10	
luck	attributes	luck_modified	10	1	10	
kinetic	resistances	expertise_innate_protection_kinetic	5	1	250	
energy	resistances	expertise_innate_protection_energy	5	1	250	
elemental	resistances	elemental_resistance	5	1	250	
crafting	trade	crafting_assembly	5	2	1	
creature_harvesting	trade	creature_harvesting	1	5	25	
harvest_faire	trade	expertise_harvester_collection_increase	1	10	15	
reverse_engineering_chance	trade	expertise_reverse_engineering_bonus	1	5	5	
crafting	trade	crafting_assembly	1	10	5	
crafting_success	trade	crafting_critical_success_bonus	1	5	5	
hand_sampling	trade	expertise_resource_sampling_increase	1	10	15	
resource_quality	trade	expertise_resource_quality_increase	1	10	3	
critical_hit	combat	expertise_critical_niche_all	1	5	3	
critical_hit_defense	combat	expertise_critical_hit_reduction	1	5	3	
dodge	combat	expertise_glancing_blow_all	1	5	3	
action_cost_reduction	combat	expertise_action_all	1	5	5	
healing	misc	expertise_dot_absorption_all	5	2	4	holism
healer	misc	expertise_healing_all	5	2	3	holism
reactive_go_with_the_flow	misc	movement_speed	5	2	5	go_with_the_flow 
reactive_second_chance	misc	reactive_second_chance	4	2	2	second_chance
harvest_faire	misc	expertise_harvester_collection_increase	5	2	1	harvest_faire  
flush_with_success	misc	flush_with_success	5	2	3	flush_with_success  
