NAME	REQUIRED_1	REQUIRED_2
s	s[none]	s[none]
bandfill	mandoviol	traz
fanfar	fizz	slitherhorn
fizz	slitherhorn	slitherhorn
flutedroopy	bandfill	mandoviol
kloohorn	fanfar	fizz
mandoviol	traz	kloohorn
nalargon	omnibox	flutedroopy
omnibox	flutedroopy	bandfill
prop_double_ribbon	prop_ribbon	prop_glowstick
prop_double_ribbon_magic	prop_ribbon_magic	prop_double_ribbon
prop_double_ribbon_spark	prop_ribbon_spark	prop_double_ribbon_magic
prop_glowstick	prop_sparkler	prop_sword
prop_ribbon	prop_glowstick	prop_sparkler
prop_ribbon_magic	prop_double_ribbon	prop_ribbon
prop_ribbon_spark	prop_double_ribbon_magic	prop_ribbon_magic
prop_sparkler	prop_sword	prop_staff
prop_staff	none	none
prop_sword	prop_staff	none
prop_torch	prop_glowstick	prop_sparkler
slitherhorn	slitherhorn	slitherhorn
traz	kloohorn	fanfar
