objid	container	type	shared_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	radius	portal_layout_crc
i	i	i	h	i	f	f	f	f	f	f	f	f	i
-2146255511	0	1398030671	object/static/structure/tatooine/shared_debris_tatt_drum_dented_1.iff	0	18.7675	28	1372.19	0.928665	0	0.37092	0	32	0
-2140514387	0	1413566031	object/tangible/terminal/shared_terminal_mission.iff	0	22.16	30.4797	1692.86	0.707109	0	-0.707105	0	50	0
-2133527664	0	1398030671	object/static/structure/corellia/shared_corl_imprv_gate_sm_s03.iff	0	154.728	28	1435.72	0.92388	0	-0.382683	0	128	0
-2122828343	0	1398030671	object/static/structure/corellia/shared_corl_imprv_gate_sm_s01.iff	0	141.459	28	1607.29	0.923879	0	-0.382684	0	128	0
-2121582852	0	1398030671	object/static/structure/corellia/shared_corl_tent_hut_s01.iff	0	413.63	39.8336	1169.12	0.589788	0	0.807558	0	256	0
-2105657662	0	1398030671	object/static/structure/tatooine/shared_debris_tatt_crate_metal_1.iff	0	23.9271	27.9774	1367.85	-0.318553	0	0.947904	0	32	0
-2090498086	0	1112885583	object/building/corellia/shared_filler_slum_16x16_s01.iff	0	165.872	27.9692	1472.48	0.923879	0	0.382684	0	512	0
-2083494600	0	1112885583	object/building/corellia/shared_filler_slum_16x16_s01.iff	0	123.639	28	1508.44	0.92388	0	-0.382683	0	512	0
-2079230854	0	1112885583	object/building/corellia/shared_filler_slum_16x32_s02.iff	0	95.8241	28	1494.8	0.92388	0	-0.382683	0	512	0
-2078548910	0	1398030671	object/static/structure/corellia/shared_corl_power_transformer_s01.iff	0	23.362	28	1805.85	1	0	0	0	128	0
-2054174542	0	1398030671	object/static/structure/corellia/shared_corl_imprv_gate_sm_s01.iff	0	27.1427	28	1557.42	-0.382683	0	0.92388	0	128	0
-2049076531	0	1398030671	object/static/structure/corellia/shared_corl_imprv_wall_4x32_s01.iff	0	48.7713	28	1515.54	0.92388	0	0.382683	0	128	0
-2046302005	0	1398030671	object/static/structure/corellia/shared_corl_imprv_gate_sm_s01.iff	0	22.2869	28	1859.75	-7.41481e-008	0	1	0	128	0
-2027357817	0	1398030671	object/static/structure/corellia/shared_corl_power_transformer_s01.iff	0	37.3619	28	1793.85	-3.48103e-007	0	1	0	128	0
-2023090290	0	1398030671	object/static/structure/general/shared_streetlamp_small_style_01.iff	0	76.1641	33.8502	1499.22	-0.00443176	0.764573	-0.0037359	0.644512	200	0
-2011058935	0	1398030671	object/static/structure/corellia/shared_corl_imprv_wall_4x32_s01.iff	0	99.1262	28	1602.29	1	0	0	0	128	0
-2005344703	0	1398030671	object/static/structure/corellia/shared_corl_power_connector.iff	0	26.3967	31.3251	1842.35	1	0	0	0	128	0
-1998850907	0	1398030671	object/static/structure/general/shared_streetlamp_large_style_01.iff	0	158.897	28	1519.12	-0.382683	0	0.92388	0	200	0
-1998115094	0	1398030671	object/static/structure/corellia/shared_corl_imprv_wall_4x16_s01.iff	0	54.4282	28	1498.57	0.92388	0	-0.382683	0	128	0
-1994147924	0	1398030671	object/static/structure/corellia/shared_corl_power_transformer_s01.iff	0	30.3621	28	1824.85	1	0	0	0	128	0
-1978354172	0	1398030671	object/static/structure/general/shared_streetlamp_large_style_01.iff	0	110.029	28	1680.49	0.92388	0	0.382683	0	200	0
-1978261515	0	1398030671	object/static/structure/corellia/shared_corl_imprv_wall_4x16_s04.iff	0	72.7908	27.7765	1507.97	0.707109	0	-0.707104	0	128	0
-1976131687	0	1112885583	object/building/corellia/shared_filler_historic_32x16_s01.iff	0	43.3814	28	1659.91	1	0	0	0	512	0
-1963544267	0	1398030671	object/static/structure/general/shared_streetlamp_large_style_02.iff	0	58.1596	28	1905.12	1	0	0	0	200	0
-1960783934	0	1112885583	object/building/corellia/shared_filler_block_corellia_64x32_s01.iff	0	28.8564	28	1753.68	1	0	0	0	512	0
-1952257171	0	1398030671	object/static/structure/corellia/shared_corl_imprv_wall_4x16_s01.iff	0	34.2866	28	1859.75	1	0	0	0	128	0
-1948313463	0	1398030671	object/static/structure/corellia/shared_corl_imprv_column_s03.iff	0	149.516	28	1571.78	0.923879	0	0.382684	0	128	0
-1946274642	0	1112885583	object/building/corellia/shared_filler_slum_16x16_s01.iff	0	106.17	28	1527.35	0.92388	0	-0.382683	0	512	0
-1939786804	0	1398030671	object/static/structure/corellia/shared_corl_imprv_column_s03.iff	0	126.517	28	1594.83	0.92388	0	-0.382683	0	128	0
-1930584727	0	1112885583	object/building/corellia/shared_filler_historic_32x16_s01.iff	0	102.565	28	1665.11	0	0	1	0	512	0
-1927988745	0	1398030671	object/static/structure/corellia/shared_corl_imprv_wall_4x32_s04.iff	0	161.201	27.6151	1560.13	0.923879	0	0.382684	0	128	0
-1918968145	0	1398030671	object/static/structure/general/shared_streetlamp_large_style_01.iff	0	16.8857	28	1768.89	1	0	0	0	200	0
-1912013925	0	1398030671	object/static/structure/corellia/shared_corl_imprv_wall_4x16_s01.iff	0	57.724	28	1851.7	-0.707107	0	0.707107	0	128	0
-1907927179	0	1398030671	object/static/structure/corellia/shared_corl_imprv_wall_4x32_s01.iff	0	78	28	1757	1	0	0	0	128	0
-1907249538	0	1398030671	object/static/item/shared_item_bottle_fat.iff	0	21.9404	28.7038	1367.95	1	0	0	0	32	0
-1901485658	0	1398030671	object/static/structure/corellia/shared_corl_imprv_gate_sm_s01.iff	0	23.4208	28	1901.58	1	0	0	0	128	0
-1879421507	0	1398030671	object/static/structure/corellia/shared_corl_imprv_column_s02.iff	0	41.2136	28	1553.96	7.48498e-007	0	1	0	128	0
-1871765073	0	1413566031	object/tangible/terminal/shared_terminal_mission_artisan.iff	0	22.3322	30.4515	1694.66	0.707108	0	-0.707105	0	50	0
-1850418493	0	1398030671	object/static/structure/corellia/shared_corl_imprv_wall_4x16_s01.iff	0	1.72398	28	1835.7	-0.707107	0	0.707107	0	128	0
-1847629809	0	1398030671	object/static/structure/corellia/shared_corl_imprv_wall_4x16_s03.iff	0	49.6835	28	1795.52	0.70711	0	-0.707103	0	128	0
-1840669246	0	1398030671	object/static/structure/corellia/shared_corl_imprv_gate_sm_s01.iff	0	21.724	28	1779.7	-3.20013e-008	0	1	0	128	0
