objid	container	type	shared_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	radius	portal_layout_crc
i	i	i	h	i	f	f	f	f	f	f	f	f	i
-2133527664	0	1398030671	object/static/structure/naboo/shared_planter_naboo_theed_style_2.iff	0	520.375	6	2023.03	0.884675	0	0.466208	0	64	0
-2122832143	0	1398030671	object/static/structure/general/shared_data_terminal_free_s1.iff	0	1443.26	6	1967.58	0.768052	0	-0.640387	0	200	0
-2122828343	0	1398030671	object/static/structure/general/shared_all_foodcart_s01.iff	0	1269.78	6	2018.78	0.941075	0	0.338197	0	200	0
-2103757510	0	1398030671	object/static/structure/naboo/shared_gungan_statue_s02.iff	0	163.77	9.02731	1834.94	1	0	0	0	200	0
-2103626539	0	1413566031	object/tangible/quest/shared_rotting_sapflower.iff	0	1108.07	2.64161	1097.64	0.53186	0	0.846832	0	50	0
-2101654914	0	1413566031	object/tangible/container/jar/shared_jar_empty_s01.iff	0	1381.28	6.09311	1530	1	0	0	0	50	0
-2093773463	0	1398030671	object/static/structure/naboo/shared_streetlamp_naboo_theed_style_1.iff	0	757.083	6	2019.65	1	0	0	0	200	0
-2090498086	0	1398030671	object/static/structure/naboo/shared_nboo_imprv_lattice_wall_long_s01.iff	0	1142.91	6	1959.26	0.938962	0	0.34402	0	200	0
-2084246162	0	1398030671	object/static/particle/shared_pt_sparks_small.iff	0	1423.97	6.69	1918.55	1	0	0	0	64	0
-2083494600	0	1398030671	object/static/structure/naboo/shared_nboo_imprv_lattice_wall_long_s01.iff	0	1116.73	6	1981.41	-0.344019	0	0.938962	0	200	0
-2079230854	0	1398030671	object/static/structure/naboo/shared_nboo_imprv_lattice_wall_long_s01.iff	0	1111.44	6	1962.55	0.938963	0	0.344019	0	200	0
-2078992154	0	1398030671	object/static/particle/shared_pt_sparks_small.iff	0	1549.01	6.69	2012.76	1	0	0	0	64	0
-2078548910	0	1398030671	object/static/structure/naboo/shared_streetlamp_naboo_theed_style_1.iff	0	1458.33	6	1897.3	0.952333	0	0.305059	0	200	0
-2076484780	0	1413566031	object/tangible/container/jar/shared_jar_berries_s01.iff	0	1383.57	6.0854	1530.26	0.970137	0	0.242556	0	50	0
-2054174542	0	1398030671	object/static/structure/naboo/shared_bridge_stairs_s01.iff	0	886.249	6	1625.84	0.924909	0	-0.380188	0	200	0
-2050510647	0	1112885583	object/building/naboo/shared_ac_mystril_safehouse_01_memorial.iff	0	717.365	13.0833	1525.74	-0.357693	0	0.933839	0	512	-1095192634
-1866842840	-2050510647	1396919380	object/cell/shared_cell.iff	1	0	0	0	1	0	0	0	0	0
-1448793988	-2050510647	1396919380	object/cell/shared_cell.iff	2	0	0	0	1	0	0	0	0	0
-1610971003	-1448793988	1413566031	object/tangible/quest/shared_ac_quest_loc5_memorial.iff	2	-3.51546	1.10663	1.01882	0.707115	0	-0.707098	0	50	0
-1599153254	-2050510647	1396919380	object/cell/shared_cell.iff	3	0	0	0	1	0	0	0	0	0
-2000384531	-2050510647	1396919380	object/cell/shared_cell.iff	4	0	0	0	1	0	0	0	0	0
-2077277927	-2050510647	1396919380	object/cell/shared_cell.iff	5	0	0	0	1	0	0	0	0	0
-1584408643	-2050510647	1396919380	object/cell/shared_cell.iff	6	0	0	0	1	0	0	0	0	0
-1099527039	-2050510647	1396919380	object/cell/shared_cell.iff	7	0	0	0	1	0	0	0	0	0
-2049076531	0	1398030671	object/static/structure/general/shared_planter_generic_style_1.iff	0	651.123	6	1958.99	0.246632	0	0.969109	0	64	0
-2046302005	0	1398030671	object/static/structure/naboo/shared_gungan_statue_s02.iff	0	57.2114	8.68125	1795.25	0.678557	0	0.734548	0	200	0
-2042414522	0	1398030671	object/static/installation/shared_mockup_power_generator_fusion_style_1.iff	0	1625.98	10.0286	1587.87	-3.2e-008	0	1	0	64	0
-2027357817	0	1398030671	object/static/structure/naboo/shared_streetlamp_naboo_theed_style_1.iff	0	474.055	6.08404	1993.14	1	0	0	0	200	0
-2011058935	0	1413566031	object/tangible/camp/shared_campfire_logs_burnt.iff	0	1076.71	5.08113	1349.74	1	0	0	0	50	0
-2005344703	0	1413566031	object/tangible/terminal/shared_terminal_mission_artisan.iff	0	677.232	6	1981.46	1	0	0	0	50	0
-1998115094	0	1398030671	object/static/structure/naboo/shared_fountain_naboo_style_1.iff	0	1228.55	6	2045.02	0.935897	0	0.352274	0	200	0
-1994147924	0	1398030671	object/static/structure/naboo/shared_elevated_walkway_cap_s01.iff	0	339.062	6	2001.4	0.707109	0	-0.707105	0	200	0
-1978261515	0	1398030671	object/static/structure/naboo/shared_enclosed_walkway_s02.iff	0	894.78	6	1634.28	0.924909	0	-0.380188	0	200	0
-1976131687	0	1398030671	object/static/structure/naboo/shared_seawall_intersect_naboo_theed_style_2.iff	0	555.833	-0.571365	2028.42	0.674876	0	0.737931	0	200	0
-1969957497	0	1398030671	object/static/structure/corellia/shared_corl_power_bubble_node.iff	0	400.188	13.4256	1665.86	0.96639	0	-0.257081	0	128	0
-1968544630	0	1398030671	object/static/structure/general/shared_web_07.iff	0	1091.54	6	1642.3	0.942163	0	0.335154	0	200	0
-1960783934	0	1398030671	object/static/structure/naboo/shared_nboo_imprv_lattice_wall_long_s01.iff	0	1110.44	6	1981.49	0.420688	0	0.907205	0	200	0
-1952257171	0	1398030671	object/static/structure/naboo/shared_gungan_pillar_ruined_s01.iff	0	52.6138	7.9972	1790.36	0.825294	0.00129632	-0.00991545	0.564614	200	0
-1947653658	0	1398030671	object/static/structure/general/shared_data_terminal_free_s2.iff	0	1441.28	6	1964.84	0.972514	0	-0.232843	0	200	0
-1946274642	0	1398030671	object/static/structure/naboo/shared_nboo_imprv_lattice_wall_long_s01.iff	0	1118.31	6	1956.73	0.938963	0	0.344019	0	200	0
-1939360643	0	1398030671	object/static/particle/shared_particle_campfire_style_1.iff	0	1976.1	46.4593	1858.68	1	0	0	0	64	0
-1936424468	0	1413566031	object/tangible/quest/shared_naboo_theed_foul_earthen_mound.iff	0	1508.18	36.374	1473.5	0.997828	0.0571856	-0.00553844	-0.0322193	50	0
-1933492878	0	1398030671	object/static/particle/shared_pt_sparks_small.iff	0	1523.45	6.69	1945.41	1	0	0	0	64	0
-1930584727	0	1398030671	object/static/structure/naboo/shared_seawall_intersect_naboo_theed_style_1.iff	0	703.882	0	1874.3	-0.514819	0	0.857299	0	200	0
-1927376940	0	1398030671	object/static/structure/naboo/shared_seawall_rocks_naboo_theed_style_1.iff	0	747.078	0.02105	1932.2	0.435683	0	0.9001	0	200	0
-1912013925	0	1398030671	object/static/structure/naboo/shared_gungan_wall_ruined_lg_s02.iff	0	51.7129	8.60486	1784.52	0.737005	0.252501	0.365148	0.509641	200	0
-1908401984	0	1398030671	object/static/structure/naboo/shared_streetlamp_naboo_theed_style_1.iff	0	604.565	6	2023.54	1	0	0	0	200	0
-1907927179	0	1112885583	object/building/naboo/shared_filler_nboo_bldg_64x32_style_01.iff	0	1211.12	6	1951.79	0.940159	0	0.340735	0	512	0
-1901485658	0	1112885583	object/building/naboo/shared_filler_nboo_bldg_64x32_style_01.iff	0	1550.1	6	2034.84	0.883413	0	-0.468596	0	512	0
-1884973704	0	1413566031	object/tangible/quest/shared_naboo_theed_terrorist_medical_droid.iff	0	1413.48	6	1901.12	0.7485	0	0.663135	0	50	0
-1879421507	0	1398030671	object/static/structure/naboo/shared_enclosed_walkway_s02.iff	0	929.616	6	1668.74	0.924909	0	-0.380188	0	200	0
-1850418493	0	1398030671	object/static/structure/naboo/shared_gungan_pillar_damaged_s01.iff	0	49.0356	8.84197	1793.95	1	0	0	0	200	0
-1847828235	0	1398030671	object/static/structure/naboo/shared_seawall_straight_naboo_theed_style_4.iff	0	837.488	0.162507	2036.42	0.434965	0	0.900447	0	200	0
-1847629809	0	1398030671	object/soundobject/shared_soundobject_city_crowd_small.iff	0	757.448	6	1978.2	1	0	0	0	128	0
-1840669246	0	1398030671	object/soundobject/shared_soundobject_city_crowd_small.iff	0	1485.48	6	1981.66	1	0	0	0	128	0
-1819259408	0	1398030671	object/static/structure/general/shared_streetlamp_small_style_01.iff	0	57.5918	6.46119	1791.37	1	0	0	0	200	0
-1804617885	0	1398030671	object/static/structure/naboo/shared_bridge_stairs_s01.iff	0	339.087	6	2038.39	0.707107	0	0.707107	0	200	0
-1803924927	0	1398030671	object/static/structure/dantooine/shared_dant_fence_4m.iff	0	1073.81	5.09796	1350.15	0.707388	0	-0.706825	0	200	0
-1798186635	0	1398030671	object/static/structure/naboo/shared_streetlamp_naboo_theed_style_1.iff	0	1178.62	6	1959.39	0.911039	0	-0.412321	0	200	0
-1796579464	0	1398030671	object/static/structure/naboo/shared_elevated_walkway_s03.iff	0	633.719	-1.08883	1828.04	0.727999	0	-0.685578	0	200	0
-1791492181	0	1398030671	object/static/item/shared_item_medic_bag.iff	0	1537.06	6	2019.12	0.462485	0	0.886627	0	32	0
-1779966207	0	1398030671	object/static/structure/naboo/shared_elevated_walkway_cap_s01.iff	0	1232.16	6	1949.23	0.938444	0	0.345432	0	200	0
-1772499584	0	1413566031	object/tangible/container/drum/shared_large_plain_crate_s03.iff	0	1381.83	6	1528.37	0.973666	0	0.227977	0	50	0
-1770561719	0	1398030671	object/static/item/shared_item_medic_bacta_tank_advanced.iff	0	1488.62	6	2036.37	0.86848	0	-0.495724	0	32	0
-1770330985	0	1413566031	object/tangible/quest/shared_naboo_theed_terrorist_medical_droid.iff	0	1537.31	6	2018.04	-0.514819	0	0.857299	0	50	0
