objid	container	type	shared_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	radius	portal_layout_crc
i	i	i	h	i	f	f	f	f	f	f	f	f	i
-2146611898	0	1398030671	object/static/structure/tatooine/shared_wall_archway_tatooine_large_style_01.iff	0	1380.54	5	1188.88	0.902611	0	-0.430458	0	128	0
-2146255511	0	1398030671	object/static/structure/tatooine/shared_orchard_tatooine_style_01.iff	0	1265.37	5	1233.47	0.898261	0	-0.439463	0	64	0
-2145011754	0	1413566031	object/tangible/furniture/tatooine/shared_frn_tato_tbl_cafe_table_style_01.iff	0	1410.92	5	1100	0.783823	0	0.620984	0	50	0
-2143851662	0	1398030671	object/static/structure/tatooine/shared_beam_tatooine_overhead_style_02.iff	0	1274.62	5	1570.68	-0.271548	0	0.962425	0	200	0
-2142855020	0	1398030671	object/static/item/shared_item_medic_bacta_tank.iff	0	1476.79	5	1368.89	1	0	0	0	32	0
-2141974795	0	1413566031	object/tangible/furniture/tatooine/shared_frn_tato_chair_cafe_style_02.iff	0	1348.2	19.9449	1559.71	0.918946	0	-0.394384	0	50	0
-2141737570	0	1398030671	object/static/structure/tatooine/shared_debris_tatt_pipe_narrow_1.iff	0	1475.63	5	1169.12	0.886995	0	0.461779	0	32	0
-2141394350	0	1398030671	object/static/structure/general/shared_droid_r3_powerdown.iff	0	1976.58	5	1391.12	0.780707	0	-0.624897	0	64	0
-2139869336	0	1398030671	object/static/structure/tatooine/shared_stone_hovel_tatooine_style_01.iff	0	1233.94	4.99899	1611.35	0.917121	0	-0.39861	0	200	0
-2137087920	0	1413566031	object/tangible/furniture/decorative/shared_community_tcg_gcw_photo_contest_painting_2010_03.iff	0	1444.38	5.96633	1369.42	0.441884	0	0.897071	0	50	0
-2135576252	0	1398030671	object/static/structure/tatooine/shared_guild_ball_free_style_01.iff	0	1366.82	5	1389.88	0.875175	0	-0.483807	0	32	0
-2135291874	0	1398030671	object/static/structure/tatooine/shared_stone_hovel_tatooine_style_01.iff	0	1158.83	5	1457.37	0.717912	0	-0.696134	0	200	0
-2134821917	0	1398030671	object/static/structure/tatooine/shared_debris_tatt_pipe_widemouth.iff	0	1436.55	3.60859	1281.66	-0.315322	0	0.948985	0	32	0
-2133527664	0	1398030671	object/static/structure/tatooine/shared_wall_damaged_tatooine_large_style_01.iff	0	1392.17	3.02175	1643.47	0.786918	0	0.617057	0	128	0
-2132658934	0	1398030671	object/static/vehicle/shared_static_speeder_bike.iff	0	1155.6	5	1453.81	0.937647	0	-0.34759	0	256	0
-2130683655	0	1398030671	object/static/structure/tatooine/shared_pillar_pristine_large_style_01.iff	0	1442.65	2.92709	1427.56	0.886627	0	-0.462486	0	128	0
-2130093397	0	1398030671	object/static/structure/general/shared_skeleton_bith_head.iff	0	1407.76	5.03182	1144.17	0.923145	-0.221023	0.305921	0.0732446	64	0
